Sr No,Date dd/mm/yyyy,Startup Name,Startup type,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,GREEN,Success
1257,30-11-2016,Pulse,Non-Green,Consumer Internet,Campus Social Networking App,Bangalore,SAIF Partners,Private Equity,"5,00,000",,0
1258,30-11-2016,MonkeyBox,Non-Green,Consumer Internet,Healthy Food Delivery platform,Bangalore,Blume Ventures & Others,Seed Funding,N/A,,0
1259,30-11-2016,Carcrew.in,Non-Green,Consumer Internet,Online Car repair Marketplace,Mumbai,TVS Group,Seed Funding,"5,00,000",,0
1260,03-10-2016,MeraKisan,Non-Green,E-commerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,N/A,,0
1261,03-10-2016,Mystifly,Non-Green,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,"50,00,000",,0
1262,03-10-2016,HelpChat,Non-Green,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,N/A,,0
1263,03-10-2016,Uniphore,Non-Green,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"20,00,000",,0
1264,03-10-2016,World Art Community,Non-Green,E-commerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,"2,00,000",,0
1265,04-10-2016,Giftxoxo,Non-Green,E-commerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,"4,50,000",,0
1266,04-10-2016,Bharat Bazaar,Non-Green,E-commerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,N/A,,0
1267,04-10-2016,GOQii,Non-Green,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,N/A,,0
1268,04-10-2016,India Gifts Portal,Non-Green,E-commerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,"20,00,000",,0
1269,04-10-2016,Moglix,Non-Green,E-commerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"42,00,000",,0
1270,04-10-2016,NetLinx,Non-Green,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,"30,00,000",,0
1271,04-10-2016,Scandid,Non-Green,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,N/A,,0
1272,04-10-2016,Remitr,Non-Green,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"10,00,000",,0
1273,04-10-2016,InnerChef,Non-Green,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,"25,00,000",,0
1274,04-10-2016,AppsDaily,Non-Green,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"37,50,000",,0
1275,05-10-2016,MuhurtMaza,Non-Green,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,N/A,,0
1276,05-10-2016,Azuro,Non-Green,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,N/A,,0
1277,05-10-2016,NeuroSynaptic,Non-Green,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,N/A,,0
1278,05-10-2016,UE LifeSciences,Non-Green,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"12,00,000",,0
1279,06-10-2016,FindmeaShoe,Non-Green,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,N/A,,0
1280,06-10-2016,RealBox,Non-Green,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,"3,00,000",,0
1281,06-10-2016,Sportido,Non-Green,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,N/A,,0
1282,06-10-2016,GoZefo,Non-Green,E-commerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,"10,50,000",,0
1283,07-10-2016,RayIOT,Non-Green,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,"1,00,000",,0
1284,07-10-2016,KOOH Sports,Non-Green,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,"22,00,000",,0
1285,07-10-2016,Flexiloans,Non-Green,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"1,50,00,000",,0
1286,07-10-2016,Sibia Analytics,Non-Green,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,N/A,,0
1287,10-10-2016,Vithi.com,Non-Green,E-commerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding,"3,75,000",,0
1288,11-10-2016,Yupp TV,Non-Green,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,"5,00,00,000",,0
1289,11-10-2016,Deyor Camps,Non-Green,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"5,00,000",,0
1290,12-10-2016,ZipLoan,Non-Green,Consumer Internet,online lending platform,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick",Seed Funding,N/A,,0
1291,13-10-2016,FabAlley,Non-Green,E-commerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"20,00,000",,0
1292,13-10-2016,Shoekonnect,Non-Green,E-commerce,B2B Marketplace for Shoes,Agra,Indian Angel Network,Seed Funding,N/A,,0
1293,13-10-2016,Maya,Non-Green,Consumer Internet,Womens Health Tracker App,Bangalore,Rajan Anandan,Seed Funding,N/A,,0
1294,13-10-2016,RoboVac,Non-Green,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,"4,50,000",,0
1295,14-10-2016,Newspatrolling,Non-Green,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding,"25,000",,0
1296,14-10-2016,Postman,Non-Green,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,"70,00,000",,0
1297,14-10-2016,ISFC,Non-Green,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,"60,00,000",,0
1298,14-10-2016,BeatRoute,Non-Green,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services LLP,Seed Funding,N/A,,0
1299,14-10-2016,Kidsstoppress,Non-Green,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,N/A,,0
1300,14-10-2016,Innov8,Non-Green,Consumer Internet,Co-Working Spaces aggregator,Bangalore,Punit Soni,Seed Funding,N/A,,0
1301,15-10-2016,DailyHunt,Non-Green,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,"2,50,00,000",,0
1302,15-10-2016,Tazzo Bikes,Non-Green,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,"2,27,000",,0
1303,15-10-2016,MyKindofJob,Non-Green,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"10,00,000",,0
1304,17-10-2016,Trilyo,Non-Green,Technology,B2B SAAS based product,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,N/A,,0
1305,17-10-2016,Rooter,Non-Green,Consumer Internet,Sports Social Network mobile app,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,N/A,,0
1306,17-10-2016,Yumigo,Non-Green,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,"3,00,000",,0
1307,17-10-2016,Rentalpha,Non-Green,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,"1,60,00,000",,0
1308,18-10-2016,3Dexter,Non-Green,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,"1,50,000",,0
1309,18-10-2016,BabyChakra,Non-Green,Consumer Internet,Parenting and Child Care portal,Mumbai,RoundGlass Partners,Private Equity,N/A,,0
1310,18-10-2016,Coppre,Non-Green,E-commerce,Copper based items etailer,Pune,Ganesh Natarajan,Seed Funding,N/A,,0
1311,18-10-2016,MySUN,Non-Green,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,"25,00,000",,0
1312,18-10-2016,ePathsala,Non-Green,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,"Hyderabad Angels, TLabs",Seed Funding,N/A,,0
1313,19-10-2016,Furlenco,Non-Green,Consumer Internet,Online Furniture Rental platform,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,"3,00,00,000",,0
1314,19-10-2016,Fisdom,Non-Green,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"11,00,000",,0
1315,19-10-2016,Actofit,Non-Green,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,"7,50,000",,0
1316,20-10-2016,Stayology,Non-Green,Consumer Internet,Stay & Travel related services,Bangalore,Ranjan Pai,Seed Funding,N/A,,0
1317,20-10-2016,Hipcask,Non-Green,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,N/A,,0
1318,20-10-2016,RailYatri,Non-Green,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,N/A,,0
1319,21-10-2016,ChatOnGo,Non-Green,Consumer Internet,Hyperlocal\\xc2\\xa0 Communication Mobile app,Mumbai,Janak Jain,Seed Funding,"3,00,000",,0
1320,23-10-2016,WOTU,Non-Green,E-commerce,B2B Marketplace for traders,Bangalore,KAE capital,Seed Funding,N/A,,0
1321,24-10-2016,Healthians,Non-Green,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,"30,00,000",,0
1322,24-10-2016,Box8,Non-Green,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"75,00,000",,0
1323,25-10-2016,Kredx,Non-Green,E-commerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,"60,00,000",,0
1324,25-10-2016,CreditMate,Non-Green,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,"5,00,000",,0
1325,25-10-2016,Pickrr,Non-Green,Technology,Courier Logistics & Order management Solutions,New Delhi,Swastika Company Ltd,Seed Funding,N/A,,0
1326,25-10-2016,SatvaKart,Non-Green,E-commerce,Online Grocery Etailer,Gurgaon,Nimit Panigrahi,Seed Funding,N/A,,0
1327,25-10-2016,SooperMO,Non-Green,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,"1,00,000",,0
1328,26-10-2016,OrangeTwig,Non-Green,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,"10,00,000",,0
1329,26-10-2016,Wooplr,Non-Green,Consumer Internet,Fashion Discovery App,Bangalore,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,N/A,,0
1330,26-10-2016,The Kettlery,Non-Green,E-commerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"10,00,000",,0
1331,27-10-2016,Idea Bubbles,Non-Green,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"7,00,000",,0
1332,27-10-2016,FR8,Non-Green,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"9,71,000",,0
1333,27-10-2016,Ather Energy,Non-Green,Technology,Electric Vehicle Manufacturer,Bangalore,Hero MotoCorp,Private Equity,"2,70,00,000",,0
1334,28-10-2016,Pikkol,Non-Green,Logistics,Relocation Service provider,Bangalore,"Ajay Nanavati, Afsal Salu",Seed Funding,N/A,,0
1335,29-10-2016,Velmenni,Non-Green,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,"1,00,000",,0
1336,29-10-2016,Volta Motors,Non-Green,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"1,00,000",,0
1337,29-10-2016,Cyclops,Non-Green,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding,"1,00,000",,0
1338,30-10-2016,Impact Analytics,Non-Green,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"7,50,000",,0
1339,31-10-2016,Talent Next,Non-Green,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,"10,00,000",,0
1340,01-09-2016,Mad Street Den,Non-Green,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,N/A,,0
1341,01-09-2016,Mihup,Non-Green,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,"67,00,000",,0
1342,01-09-2016,Renowala,Non-Green,E-commerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,N/A,,0
1343,01-09-2016,Lucideus,Non-Green,Technology,IT Risk Assessment and Digital Security Services provider.,New Delhi,Amit Choudhary,Seed Funding,N/A,,0
1344,04-09-2016,Trackbizz,Non-Green,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,N/A,,0
1345,05-09-2016,Social Quotient,Non-Green,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,N/A,,0
1346,05-09-2016,Stalk Buy Love,Non-Green,E-commerce,Fashion Apparel eTailer,New Delhi,William Bissel,Seed Funding,N/A,,0
1347,06-09-2016,eShakti,Non-Green,E-commerce,Women\xe2\x80\x99s Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"13,50,000",,0
1348,06-09-2016,CheersOye!,Non-Green,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,"5,00,000",,0
1349,06-09-2016,Lenskart,Non-Green,E-commerce,Online Eyewear eTailer,New Delhi,PremjiInvest,Private Equity,N/A,,0
1350,06-09-2016,BigStylist,Non-Green,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,"9,00,000",,0
1351,07-09-2016,Zilingo,Non-Green,E-commerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"80,00,000",,0
1352,07-09-2016,Alternacare,Non-Green,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed Funding,"5,00,000",,0
1353,07-09-2016,Simplilearn,Non-Green,Education,Online Certification programs,Bangalore,InnoVen Capital India,Private Equity,"60,00,000",,0
1354,07-09-2016,Prozo,Non-Green,E-commerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"3,15,000",,0
1355,08-09-2016,TopRankers,Non-Green,Education,Online Test Preparation platform,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"6,70,000",,0
1356,08-09-2016,BuildTraders,Non-Green,E-commerce,Online Construction Materials Marketplace,Bangalore,Idein Ventures,Seed Funding,"2,00,000",,0
1357,09-09-2016,Byju\\xe2\\x80\\x99s,Non-Green,Education,Online Learning App,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"5,00,00,000",,0
1358,09-09-2016,NoBroker,Non-Green,Consumer Internet,Online Home Rental platform,Bangalore,Anand Chandrasekaran,Seed Funding,N/A,,0
1359,10-09-2016,Freshboxx,Non-Green,E-commerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,N/A,,0
1360,10-09-2016,CureInstant,Non-Green,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed Funding,"1,50,000",,0
1361,10-09-2016,Poshtic,Non-Green,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,"4,50,000",,0
1362,10-09-2016,KarmaCircles,Non-Green,Consumer Internet,Peer-to-peer Social Learning platform,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,N/A,,0
1363,12-09-2016,Purple Style Labs,Non-Green,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"4,48,000",,0
1364,12-09-2016,Inuxu,Non-Green,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,"30,00,000",,0
1365,12-09-2016,Nykaa,Non-Green,E-commerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"1,23,00,000",,0
1366,12-09-2016,Glam Studios,Non-Green,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"3,00,000",,0
1367,13-09-2016,Findow,Non-Green,Consumer Internet,Fashion Discovery Mobile app,Bangalore,Raj Singh Bhandal,Seed Funding,N/A,,0
1368,13-09-2016,IdeaChakki,Non-Green,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,Ratan Tata,Seed Funding,N/A,,0
1369,13-09-2016,ShoeKonnect,Non-Green,E-commerce,Footwear & Leather B2B App,Agra,Indian Angels Network,Seed Funding,N/A,,0
1370,13-09-2016,NearBuy,Non-Green,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,"25,00,000",,0
1371,14-09-2016,ZeroInfy,Non-Green,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,N/A,,0
1372,14-09-2016,Flocareer,Non-Green,Consumer Internet,Jobs & Skill Validation platform,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,"1,50,000",,0
1373,14-09-2016,LensPick,Non-Green,E-commerce,eyewear eTailer,Bangalore,Scadea Solutions Inc,Private Equity,N/A,,0
1374,15-09-2016,infeedo,Non-Green,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"2,00,000",,0
1375,15-09-2016,Furlenco,Non-Green,E-commerce,Online furniture rental startup,Bangalore,Lightbox Ventures and others,Private Equity,"50,00,000",,0
1376,15-09-2016,GoPigeon,Non-Green,Consumer Internet,on-demand logistics service provider,Bangalore,Nexus Venture Partners,Private Equity,"15,00,000",,0
1377,16-09-2016,NewsDistill,Non-Green,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"1,00,000",,0
1378,16-09-2016,DoctorInsta,Non-Green,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,"10,00,000",,0
1379,19-09-2016,Milofy,Non-Green,Consumer Internet,Couple Socialization App,Bangalore,Accel Partners,Seed Funding,"7,50,000",,0
1380,19-09-2016,Liqvid,Non-Green,Technology,Integrated eLearning content solutions,New Delhi,Gray Matters Capital,Private Equity,N/A,,0
1381,19-09-2016,Swiggy,Non-Green,Consumer Internet,Online Food Ordering & Delivery,Bangalore,Bessemer Venture Partners,Private Equity,"1,50,00,000",,0
1382,20-09-2016,Codemojo,Non-Green,Consumer Internet,Customer Engagement Platform,Bangalore,CIO Angel Network,Seed Funding,N/A,,0
1383,20-09-2016,JustLikeNew,Non-Green,E-commerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,"5,00,000",,0
1384,20-09-2016,JoeHukum,Non-Green,Technology,Enterprise customer engagement solutions,New Delhi,Sumit Jain,Seed Funding,N/A,,0
1385,21-09-2016,Co Life,Non-Green,Consumer Internet,shared living and working spaces platform,Bangalore,Undisclosed Investors,Seed Funding,"10,00,000",,0
1386,21-09-2016,PurpleDocs,Non-Green,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead Angels & Others",Seed Funding,N/A,,0
1387,21-09-2016,Pepperfry,Non-Green,E-commerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"3,13,00,000",,0
1388,21-09-2016,eQuickies,Non-Green,E-commerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,"2,98,000",,0
1389,21-09-2016,Khel Now,Non-Green,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed Funding,"3,50,000",,0
1390,22-09-2016,Gadgetwood,Non-Green,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,"60,00,000",,0
1391,22-09-2016,DailyRounds,Non-Green,Consumer Internet,Mobile App for Doctors,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,N/A,,0
1392,22-09-2016,Flixy Games,Non-Green,Technology,Mobile Game Publisher for Indian audience,Bangalore,Rebright Partners,Seed Funding,"4,25,000",,0
1393,22-09-2016,HashTaag,Non-Green,Technology,Mobile App Development company,Bangalore,Undisclosed investors,Seed Funding,"10,00,000",,0
1394,22-09-2016,PharmaRack,Non-Green,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"7,45,000",,0
1395,23-09-2016,\\xc2\\xa0CloudCherry,Non-Green,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"60,00,000",,0
1396,23-09-2016,Parentlane,Non-Green,Consumer Internet,Social Platform for babycare and parenting,Bangalore,Rohit MA,Seed Funding,N/A,,0
1397,23-09-2016,First Moms Club,Non-Green,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,N/A,,0
1398,23-09-2016,inMotion,Non-Green,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,N/A,,0
1399,26-09-2016,Let\xe2\x80\x99s Barter,Non-Green,Consumer Internet,Goods & Services Barter Platform,New Delhi,Scale Ventures Funds,Seed Funding,N/A,,0
1400,26-09-2016,EvenGini,Non-Green,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,N/A,,0
1401,27-09-2016,TinyStep,Non-Green,Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"15,80,000",,0
1402,27-09-2016,Canvs,Non-Green,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,N/A,,0
1403,28-09-2016,Beardo,Non-Green,E-commerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"5,00,000",,0
1404,28-09-2016,Instacar,Non-Green,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"10,00,000",,0
1405,28-09-2016,Celes Care,Non-Green,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"10,00,000",,0
1406,28-09-2016,Druva,Non-Green,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"5,10,00,000",,0
1407,29-09-2016,Promon,Non-Green,E-commerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"1,80,000",,0
1408,29-09-2016,Fastudent,Non-Green,E-commerce,Education E-commerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,N/A,,0
1409,29-09-2016,Unocoin,Non-Green,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"15,00,000",,0
1410,30-09-2016,Demyto,Non-Green,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,N/A,,0
1411,30-09-2016,Zeta,Non-Green,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"1,90,00,000",,0
1412,30-09-2016,Kalaage,Non-Green,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,N/A,,0
1413,01-08-2016,HealthKart,Non-Green,E-commerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"1,20,00,000",,0
1414,01-08-2016,Medinfi,Non-Green,Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"2,00,000",,0
1415,01-08-2016,RepairEasy,Non-Green,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"2,75,000",,0
1416,01-08-2016,Voonik,Non-Green,E-commerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,"30,00,000",,0
1417,01-08-2016,Tokri,Non-Green,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"25,00,000",,0
1418,02-08-2016,Sheroes,Non-Green,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"18,00,000",,0
1419,02-08-2016,Daily Ninja,Non-Green,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,N/A,,0
1420,02-08-2016,Yumlane,Non-Green,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"10,00,000",,0
1421,03-08-2016,Xcode,Non-Green,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,N/A,,0
1422,03-08-2016,ExtraCarbon,Non-Green,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,"2,25,000",,0
1423,03-08-2016,FlickBay,Non-Green,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"8,90,000",,0
1424,04-08-2016,Petoo,Non-Green,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,"5,00,000",,0
1425,04-08-2016,lehlehsports,Non-Green,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,N/A,,0
